arm,cleaning,horizon_w,n,beta_excess,nw_se,t,p,r2
P0,C2x,4,126,0.0808,0.1167,0.69,0.4887,0.345
P0,C2x,8,126,0.0543,0.1053,0.52,0.6059,0.248
P0,C2x,13,126,0.0723,0.0957,0.76,0.4501,0.2
P0,C3x,4,126,-0.0553,0.0548,-1.01,0.3129,0.34
P0,C3x,8,126,-0.0396,0.054,-0.73,0.4637,0.246
P0,C3x,13,126,-0.0282,0.0535,-0.53,0.5985,0.193
P3,C2x,4,126,0.0862,0.1306,0.66,0.5091,0.347
P3,C2x,8,126,0.0521,0.1163,0.45,0.6543,0.249
P3,C2x,13,126,0.0523,0.1052,0.5,0.619,0.196
P3,C3x,4,126,-0.1011,0.052,-1.94,0.052,0.35
P3,C3x,8,126,-0.0897,0.0534,-1.68,0.0931,0.255
P3,C3x,13,126,-0.0876,0.0561,-1.56,0.1187,0.204
