jaccard,rho_null_c3x,ci_lo,ci_hi
0.00,0.082,0.044,0.115
0.20,0.243,0.208,0.268
0.40,0.358,0.321,0.382
0.57,0.433,0.398,0.455
0.70,0.478,0.444,0.499
0.85,0.525,0.491,0.544
1.00,0.564,0.531,0.581
