class,n_assets,2019,2020,2021,2022,2023,2024,2025,2026
equity,51,10.1,37.9,74.6,77.9,65.7,71.3,87.2,97.7
FX,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypto,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commodities,8,0.0,13.7,21.5,21.6,7.9,6.5,48.8,75.0
bonds,5,0.0,16.9,13.6,17.7,5.4,10.0,56.5,94.2
