asset,category,class,pct_train,pct_overall,us_equity,keep
NVDA.US,us_single,equity,78.4,91.4,True,True
TSLA.US,us_single,equity,75.2,90.1,True,True
BA.US,us_single,equity,68.6,87.5,True,True
AAPL.US,us_single,equity,66.0,86.5,True,True
AMZN.US,us_single,equity,65.4,86.2,True,True
T.US,us_single,equity,63.4,85.5,True,True
PFE.US,us_single,equity,63.4,85.2,True,True
NFLX.US,us_single,equity,62.7,85.2,True,True
MSFT.US,us_single,equity,62.7,85.2,True,True
WMT.US,us_single,equity,61.4,84.7,True,True
JPM.US,us_single,equity,60.1,83.9,True,True
GS.US,us_single,equity,60.8,83.9,True,True
GOOGL.US,us_single,equity,58.8,83.6,True,False
WFC.US,us_single,equity,60.8,83.1,True,True
LLY.US,us_single,equity,54.2,81.8,True,False
MS.US,us_single,equity,54.2,81.6,True,False
CVX.US,us_single,equity,55.6,81.3,True,False
DIS.US,us_single,equity,52.9,81.0,True,False
XOM.US,us_single,equity,52.3,80.8,True,False
KO.US,us_single,equity,50.3,79.5,True,False
BAC.US,us_single,equity,49.7,79.0,True,False
JNJ.US,us_single,equity,49.7,78.4,True,False
PG.US,us_single,equity,45.8,78.2,True,False
CAT.US,us_single,equity,45.1,77.9,True,False
MA.US,us_single,equity,45.8,77.9,True,False
V.US,us_single,equity,44.4,77.9,True,False
PEP.US,us_single,equity,43.1,77.1,True,False
UNH.US,us_single,equity,42.5,76.6,True,False
HD.US,us_single,equity,42.5,76.1,True,False
SPY.US,us_sector_etf,equity,52.3,72.7,True,False
QQQ.US,global_index,equity,50.3,72.5,False,False
META.US,us_single,equity,5.2,58.4,True,False
GLD.US,commodity,commodities,45.1,56.9,False,False
XLB.US,us_sector_etf,equity,34.6,54.0,True,False
XLK.US,us_sector_etf,equity,42.5,54.0,True,False
XLE.US,us_sector_etf,equity,38.6,52.2,True,False
XLY.US,us_sector_etf,equity,30.7,48.3,True,False
XLF.US,us_sector_etf,equity,37.9,47.5,True,False
XLU.US,us_sector_etf,equity,26.8,46.5,True,False
XLV.US,us_sector_etf,equity,27.5,45.5,True,False
XLI.US,us_sector_etf,equity,32.7,43.9,True,False
XLP.US,us_sector_etf,equity,26.8,43.1,True,False
IWM.US,global_index,equity,27.5,40.8,False,False
XLRE.US,us_sector_etf,equity,26.8,39.0,True,False
DIA.US,global_index,equity,26.1,36.1,False,False
TLT.US,bond_etf,bonds,13.7,31.7,False,False
USO.US,commodity,commodities,19.6,27.8,False,False
SLV.US,commodity,commodities,19.6,25.7,False,False
LQD.US,bond_etf,bonds,15.7,23.1,False,False
HYG.US,bond_etf,bonds,14.4,21.0,False,False
BNO.US,commodity,commodities,6.5,20.0,False,False
EWJ.US,global_index,equity,3.3,19.5,False,False
IEF.US,bond_etf,bonds,5.2,18.7,False,False
EWU.US,global_index,equity,6.5,18.7,False,False
UNG.US,commodity,commodities,4.6,17.9,False,False
SHY.US,bond_etf,bonds,3.3,16.1,False,False
EWQ.US,global_index,equity,1.3,15.1,False,False
EWG.US,global_index,equity,1.3,14.8,False,False
EWI.US,global_index,equity,0.0,14.5,False,False
DBA.US,commodity,commodities,1.3,13.0,False,False
EWP.US,global_index,equity,0.0,9.6,False,False
EZU.US,global_index,equity,2.0,6.8,False,False
PALL.US,commodity,commodities,0.0,3.6,False,False
DBB.US,commodity,commodities,0.0,2.6,False,False
GBPUSD.FOREX,fx,FX,0.0,0.0,False,False
EURUSD.FOREX,fx,FX,0.0,0.0,False,False
NZDUSD.FOREX,fx,FX,0.0,0.0,False,False
USDCAD.FOREX,fx,FX,0.0,0.0,False,False
AUDUSD.FOREX,fx,FX,0.0,0.0,False,False
USDCHF.FOREX,fx,FX,0.0,0.0,False,False
USDJPY.FOREX,fx,FX,0.0,0.0,False,False
EURGBP.FOREX,fx,FX,0.0,0.0,False,False
BTC-USD.CC,crypto,crypto,0.0,0.0,False,False
ETH-USD.CC,crypto,crypto,0.0,0.0,False,False
