date,N_usable
2019-02-01,4
2019-02-08,5
2019-02-15,1
2019-02-22,12
2019-03-01,7
2019-03-08,10
2019-03-15,4
2019-03-22,2
2019-03-29,7
2019-04-05,7
2019-04-12,11
2019-04-19,8
2019-04-26,3
2019-05-03,4
2019-05-10,6
2019-05-17,5
2019-05-24,2
2019-05-31,4
2019-06-07,2
2019-06-14,2
2019-06-21,2
2019-06-28,1
2019-07-05,0
2019-07-12,0
2019-07-19,4
2019-07-26,4
2019-08-02,1
2019-08-09,7
2019-08-16,2
2019-08-23,2
2019-08-30,3
2019-09-06,1
2019-09-13,2
2019-09-20,1
2019-09-27,2
2019-10-04,1
2019-10-11,3
2019-10-18,2
2019-10-25,3
2019-11-01,3
2019-11-08,7
2019-11-15,4
2019-11-22,2
2019-11-29,3
2019-12-06,1
2019-12-13,3
2019-12-20,1
2019-12-27,1
2020-01-03,0
2020-01-10,1
2020-01-17,1
2020-01-24,4
2020-01-31,1
2020-02-07,1
2020-02-14,3
2020-02-21,0
2020-02-28,4
2020-03-06,2
2020-03-13,1
2020-03-20,6
2020-03-27,13
2020-04-03,11
2020-04-10,12
2020-04-17,16
2020-04-24,20
2020-05-01,26
2020-05-08,19
2020-05-15,18
2020-05-22,31
2020-05-29,16
2020-06-05,20
2020-06-12,26
2020-06-19,23
2020-06-26,17
2020-07-03,20
2020-07-10,18
2020-07-17,17
2020-07-24,19
2020-07-31,16
2020-08-07,18
2020-08-14,15
2020-08-21,23
2020-08-28,25
2020-09-04,24
2020-09-11,24
2020-09-18,25
2020-09-25,17
2020-10-02,25
2020-10-09,22
2020-10-16,30
2020-10-23,23
2020-10-30,15
2020-11-06,20
2020-11-13,29
2020-11-20,26
2020-11-27,28
2020-12-04,22
2020-12-11,32
2020-12-18,24
2020-12-25,28
2021-01-01,32
2021-01-08,32
2021-01-15,35
2021-01-22,34
2021-01-29,33
2021-02-05,42
2021-02-12,39
2021-02-19,41
2021-02-26,38
2021-03-05,37
2021-03-12,37
2021-03-19,40
2021-03-26,38
2021-04-02,36
2021-04-09,37
2021-04-16,34
2021-04-23,36
2021-04-30,37
2021-05-07,32
2021-05-14,31
2021-05-21,32
2021-05-28,34
2021-06-04,32
2021-06-11,32
2021-06-18,36
2021-06-25,33
2021-07-02,33
2021-07-09,33
2021-07-16,30
2021-07-23,40
2021-07-30,39
2021-08-06,34
2021-08-13,29
2021-08-20,31
2021-08-27,31
2021-09-03,35
2021-09-10,34
2021-09-17,35
2021-09-24,36
2021-10-01,33
2021-10-08,36
