kind,J,rho,K_eff
null_sweep,0.0,0.082,4.255
null_sweep,0.2,0.243,2.709
null_sweep,0.4,0.358,2.151
null_sweep,0.57,0.433,1.896
null_sweep,0.7,0.478,1.77
null_sweep,0.85,0.525,1.655
null_sweep,1.0,0.564,1.571
empirical,0.57,0.36,2.143
analytic_50pct,0.333,0.32,2.31
analytic_90pct,0.818,0.515,1.68
