pair_set,P0_normal,P0_stress,P3_normal,P3_stress
all-9,0.509,0.4653,0.3889,0.3205
within-efficiency,0.4966,0.4894,0.3646,0.2934
within-frontier,0.5522,0.5199,0.4316,0.332
within-open,0.5158,0.4526,0.3505,0.2469
frontier-2 (claude+gpt),0.6144,0.5586,0.4316,0.332
lineage (same-provider cross-tier),0.5672,0.5523,0.5161,0.494
