arm,cleaning,premium,ci_lo,ci_hi
P0,C2x,-0.056,-0.0981,-0.0092
P0,C3x,-0.04,-0.0926,0.0094
P3,C2x,-0.0764,-0.119,-0.0301
P3,C3x,-0.072,-0.1258,-0.0211
