cleaning,arm,full_normal,full_stress,core_normal,core_stress
C2x,P0,0.5672,0.5112,0.5464,0.5963
C2x,P3,0.4165,0.3401,0.3983,0.4062
C3x,P0,0.5073,0.4673,0.4796,0.4802
C3x,P3,0.3609,0.2889,0.335,0.2666
