arm,cleaning,horizon_w,beta_excess,nw_se,t,p
P0,C2x,4,0.0339,0.0613,0.55,0.58
P0,C2x,8,-0.0405,0.0615,-0.66,0.51
P0,C2x,13,-0.0392,0.0575,-0.68,0.495
P0,C3x,4,-0.0189,0.0671,-0.28,0.778
P0,C3x,8,-0.0598,0.0533,-1.12,0.262
P0,C3x,13,-0.0422,0.0399,-1.06,0.29
P3,C2x,4,-0.0057,0.0632,-0.09,0.928
P3,C2x,8,-0.0371,0.054,-0.69,0.492
P3,C2x,13,-0.0464,0.0556,-0.84,0.403
P3,C3x,4,-0.0246,0.0564,-0.44,0.663
P3,C3x,8,-0.0181,0.0612,-0.3,0.768
P3,C3x,13,-0.0185,0.0631,-0.29,0.769
